City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Cherskiy,RU,2021-12-08 03:31:23,68.75,161.3,-45.31,99,99,4.68
248,Verkhnyaya Inta,RU,2021-12-08 03:31:23,65.9811,60.3094,9.23,91,100,20.04
249,Mandera,KE,2021-12-08 03:31:23,3.9366,41.867,78.44,70,33,11.03
250,Bud,US,2021-12-08 03:31:24,39.447,-86.1758,26.69,75,100,4.63
251,Kuytun,RU,2021-12-08 03:31:24,54.3419,101.5036,27.18,95,100,3.67
252,Norman Wells,CA,2021-12-08 03:31:25,65.282,-126.8329,-9.36,77,75,2.3
253,Gourcy,BF,2021-12-08 03:31:25,13.2167,-2.35,71.26,16,64,9.17
254,Zambezi,ZM,2021-12-08 03:31:25,-13.5432,23.1047,62.8,96,43,3.44
255,Petropavlovsk-Kamchatskiy,RU,2021-12-08 03:31:26,53.0452,158.6483,28.99,51,40,4.47
256,Talara,PE,2021-12-08 03:31:26,-4.5772,-81.2719,66.72,89,70,11.81
257,Cockburn Town,TC,2021-12-08 03:28:54,21.4612,-71.1419,80.29,72,10,18.61
258,East London,ZA,2021-12-08 03:31:27,-33.0153,27.9116,65.34,88,75,2.3
259,Mayor Pablo Lagerenza,PY,2021-12-08 03:31:27,-19.9309,-60.7718,80.1,43,74,3.76
260,Aasiaat,GL,2021-12-08 03:31:27,68.7098,-52.8699,12.16,84,57,20.02
261,Nalut,LY,2021-12-08 03:31:28,30.3333,10.85,43.29,43,0,6.89
262,Pimentel,PE,2021-12-08 03:31:28,-6.8367,-79.9342,65.97,88,96,10.78
263,Fairbanks,US,2021-12-08 03:26:54,64.8378,-147.7164,20.1,88,90,1.01
264,Townsville,AU,2021-12-08 03:31:29,-19.25,146.8,86.88,66,20,14.97
265,Grimshaw,CA,2021-12-08 03:31:29,56.1834,-117.6027,28.02,79,90,8.05
266,Mahebourg,MU,2021-12-08 03:31:30,-20.4081,57.7,80.89,69,75,10.36
267,Luba,GQ,2021-12-08 03:31:30,3.4568,8.5547,80.74,82,7,5.1
268,Cukai,MY,2021-12-08 03:31:31,4.25,103.4167,86.0,70,93,12.26
269,Kiama,AU,2021-12-08 03:31:31,-34.6833,150.8667,66.0,82,99,1.01
270,Cabra,ES,2021-12-08 03:32:31,37.4725,-4.4421,53.4,88,96,3.0
271,Santona,ES,2021-12-08 03:32:32,43.4439,-3.4576,48.6,93,98,22.7
272,Langsa,ID,2021-12-08 03:32:32,4.4683,97.9683,84.69,70,43,4.07
273,Russell,US,2021-12-08 03:32:32,32.3502,-85.1999,56.12,89,90,3.44
274,La Ronge,CA,2021-12-08 03:32:33,55.1001,-105.2842,-5.55,71,75,8.05
275,Nzega,RW,2021-12-08 03:32:33,-2.479,29.5564,55.17,88,100,4.32
276,Harindanga,IN,2021-12-08 03:32:33,22.0383,88.3214,71.58,68,0,8.95
277,Kudahuvadhoo,MV,2021-12-08 03:32:34,2.6708,72.8944,82.42,77,99,10.6
278,Ringas,IN,2021-12-08 03:32:34,27.35,75.5667,57.99,33,0,2.59
279,Tuatapere,NZ,2021-12-08 03:32:34,-46.1333,167.6833,62.82,51,100,2.08
280,Gallup,US,2021-12-08 03:31:32,35.5281,-108.7426,39.96,67,90,3.44
281,Anamur,TR,2021-12-08 03:32:35,36.0751,32.8369,53.62,87,98,18.84
282,Saldanha,ZA,2021-12-08 03:32:35,-33.0117,17.9442,59.05,88,44,12.82
283,Saint George,US,2021-12-08 03:30:08,37.1041,-113.5841,54.36,45,1,3.0
284,Cayenne,GF,2021-12-08 03:32:36,4.9333,-52.3333,79.09,90,40,0.0
285,Sindor,RU,2021-12-08 03:32:36,62.8629,51.8905,8.35,90,100,8.43
286,Karimpur,IN,2021-12-08 03:32:37,23.9667,88.6167,77.04,63,0,5.37
287,Kidal,ML,2021-12-08 03:32:37,18.4411,1.4078,66.63,15,9,15.19
288,Mason City,US,2021-12-08 03:31:19,43.1536,-93.201,28.53,74,1,8.05
289,Saskylakh,RU,2021-12-08 03:32:37,71.9167,114.0833,-8.14,94,100,9.37
290,Teya,RU,2021-12-08 03:32:38,60.3778,92.6267,3.51,82,100,6.17
291,Touros,BR,2021-12-08 03:32:38,-5.1989,-35.4608,77.9,80,26,12.19
292,Iqaluit,CA,2021-12-08 03:32:38,63.7506,-68.5145,6.53,72,75,9.22
293,Porto Murtinho,BR,2021-12-08 03:32:38,-21.6989,-57.8825,74.61,42,27,3.44
