City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
256,Carutapera,BR,79.41,scattered clouds,-1.195,-46.02,Lidera
258,Tsabong,BW,77.05,overcast clouds,-26.0217,22.401,Springbok Motel
260,Sur,OM,70.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
261,Isla Mujeres,MX,82.45,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
262,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
263,Kudahuvadhoo,MV,80.04,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
264,Cayenne,GF,77.04,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
265,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
271,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
273,Ugoofaaru,MV,82.4,overcast clouds,5.6667,73.0,Ungoofaaru Inn
274,Galeana,MX,71.31,few clouds,24.8333,-100.0667,Mirador
276,Gamba,GA,75.47,overcast clouds,-2.65,10.0,
285,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
299,Atar,MR,70.83,broken clouds,20.5169,-13.0499,Oumou Elghoura
300,Bac Lieu,VN,74.57,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
302,Meulaboh,ID,75.45,overcast clouds,4.1363,96.1285,Kost Pria
304,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
305,Anori,BR,75.11,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
307,Port Macquarie,AU,72.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
322,Dahanu,IN,74.35,clear sky,19.9667,72.7333,Pearline Beach Villas
325,Savelugu,GH,83.71,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
330,Axim,GH,79.77,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
341,Bandarbeyla,SO,76.41,clear sky,9.4942,50.8122,JABIR HOTEL
345,Kandrian,PG,81.54,overcast clouds,-6.2167,149.55,Kandrian Station
347,Butterworth,MY,80.01,few clouds,5.3991,100.3638,Cititel Penang
348,Isangel,VU,83.21,overcast clouds,-19.55,169.2667,Tanna Lodge
350,Alice Springs,AU,80.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
356,Ballina,AU,71.64,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
357,Maridi,SS,73.54,overcast clouds,4.9158,29.4742,
358,Ayotzintepec,MX,72.63,broken clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
361,Ahipara,NZ,70.56,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
363,Quesada,CR,81.91,scattered clouds,10.3238,-84.4271,Legacy Boutique Hotel
365,Algarrobo,CO,81.19,overcast clouds,10.1869,-74.5753,
369,Mumbwa,ZM,76.51,broken clouds,-14.9783,27.0619,Mumbwa Motel
376,Eyl,SO,75.02,few clouds,7.9803,49.8164,Amiin Hotel
379,Cururupu,BR,79.2,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
383,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
386,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
392,Namibe,AO,71.4,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
394,Banda Aceh,ID,77.07,few clouds,5.5577,95.3222,Sulthan Hotel International
396,Irece,BR,71.92,overcast clouds,-11.3042,-41.8558,Caraíbas Palace Hotel
397,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
399,Rafai,CF,74.14,broken clouds,4.95,23.9167,
406,Cartagena Del Chaira,CO,79.95,light rain,1.3349,-74.8429,HOTEL LA ROCA
408,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
409,Sao Gabriel Da Cachoeira,BR,75.99,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
412,Fomboni,KM,81.18,overcast clouds,-12.28,43.7425,Auberge les abou
413,Port-Gentil,GA,79.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
415,Baiao,BR,77.02,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
417,Kirakira,SB,83.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
418,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
419,Boffa,GN,80.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
421,Mocuba,MZ,79.84,clear sky,-16.8392,36.9856,Phama Lodge
425,Wajid,SO,79.09,overcast clouds,3.8093,43.2471,xamdihotelresturant114
426,Roura,GF,76.96,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
429,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
432,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
438,San Policarpo,PH,79.77,overcast clouds,12.1791,125.5072,Agapita M. Nicart
442,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
444,Itarema,BR,80.64,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
446,Inhambane,MZ,78.31,clear sky,-23.865,35.3833,Oceano
448,Ambilobe,MG,72.95,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
449,Sao Felix Do Xingu,BR,73.96,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
