City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
151,Mao,ES,2021-12-12 22:39:20,39.8885,4.2658,46.96,87,0,2.3,clear sky
152,Touros,BR,2021-12-12 22:39:21,-5.1989,-35.4608,83.3,76,8,15.59,clear sky
153,Aykhal,RU,2021-12-12 22:32:43,66.0,111.5,-48.59,100,98,6.08,overcast clouds
154,Saint Anthony,US,2021-12-12 22:36:18,45.0205,-93.218,35.94,65,1,1.99,light snow
155,Ajdabiya,LY,2021-12-12 22:39:21,30.7554,20.2263,59.07,62,1,7.78,clear sky
156,Novyy Urengoy,RU,2021-12-12 22:39:22,66.0833,76.6333,-24.59,94,21,7.85,few clouds
157,Flinders,AU,2021-12-12 22:39:22,-34.5833,150.8552,68.81,71,13,4.65,few clouds
158,Port Hedland,AU,2021-12-12 22:32:38,-20.3167,118.5667,84.25,79,40,10.36,scattered clouds
159,Dingle,PH,2021-12-12 22:39:22,10.9995,122.6711,76.8,92,88,8.25,overcast clouds
160,Oksfjord,NO,2021-12-12 22:39:23,70.2396,22.3479,32.92,96,100,6.17,light snow
161,Kolpny,RU,2021-12-12 22:39:23,52.2282,37.0368,30.33,65,100,11.07,overcast clouds
162,Rovaniemi,FI,2021-12-12 22:39:24,66.5,25.7167,26.01,100,90,6.91,fog
163,Paita,PE,2021-12-12 22:38:31,-5.0892,-81.1144,73.96,80,17,11.97,few clouds
164,Akhtubinsk,RU,2021-12-12 22:39:24,48.2795,46.1722,24.49,54,6,11.48,clear sky
165,Pangnirtung,CA,2021-12-12 22:39:25,66.1451,-65.7125,-4.63,70,56,7.54,broken clouds
166,Innisfail,AU,2021-12-12 22:39:25,-17.5333,146.0333,85.87,65,17,7.58,few clouds
167,Lata,PT,2021-12-12 22:32:43,40.1629,-8.3327,58.93,80,12,4.34,few clouds
168,Kungurtug,RU,2021-12-12 22:39:25,50.5994,97.5228,-6.86,95,73,1.21,broken clouds
169,Mahanoro,MG,2021-12-12 22:39:26,-19.9,48.8,73.8,87,19,1.68,light rain
170,Igarka,RU,2021-12-12 22:39:26,67.4667,86.5833,-16.87,90,100,2.95,overcast clouds
171,Yulara,AU,2021-12-12 22:39:26,-25.2406,130.9889,73.24,78,99,5.75,overcast clouds
172,Vila Do Maio,CV,2021-12-12 22:39:27,15.1333,-23.2167,74.19,74,100,13.51,overcast clouds
173,Blagoyevo,RU,2021-12-12 22:40:27,63.3667,47.9167,3.67,94,62,5.23,broken clouds
174,Keflavik,IS,2021-12-12 22:40:27,64.0049,-22.5624,41.43,87,75,17.27,broken clouds
175,Rocha,UY,2021-12-12 22:40:28,-34.4833,-54.3333,70.05,74,66,8.19,broken clouds
176,Faanui,PF,2021-12-12 22:40:28,-16.4833,-151.75,80.96,72,42,10.0,light rain
177,Neiafu,TO,2021-12-12 22:40:29,-18.65,-173.9833,81.28,83,75,2.3,light rain
178,Marsh Harbour,BS,2021-12-12 22:40:29,26.5412,-77.0636,76.55,77,4,11.23,clear sky
179,Saint-Joseph,RE,2021-12-12 22:40:29,-21.3667,55.6167,75.58,73,78,12.15,broken clouds
180,Saint-Philippe,RE,2021-12-12 22:40:30,-21.3585,55.7679,76.59,74,80,11.32,broken clouds
181,Khatanga,RU,2021-12-12 22:40:30,71.9667,102.5,-51.12,99,80,3.85,broken clouds
182,Ilhabela,BR,2021-12-12 22:40:30,-23.7781,-45.3581,75.4,89,86,4.27,overcast clouds
183,Kilindoni,TZ,2021-12-12 22:40:31,-7.9139,39.6668,79.14,78,97,8.05,moderate rain
184,Henties Bay,NA,2021-12-12 22:33:58,-22.116,14.2845,60.85,88,0,6.49,clear sky
185,Adre,TD,2021-12-12 22:40:31,13.4667,22.2,70.39,20,80,10.07,broken clouds
186,Bambous Virieux,MU,2021-12-12 22:39:58,-20.3428,57.7575,75.45,88,75,17.27,light intensity shower rain
187,Hobyo,SO,2021-12-12 22:32:41,5.3505,48.5268,78.21,80,51,21.12,broken clouds
188,Flin Flon,CA,2021-12-12 22:40:32,54.7682,-101.865,10.24,85,90,3.44,overcast clouds
189,Lasa,IT,2021-12-12 22:40:32,46.6166,10.7002,29.35,93,60,6.73,broken clouds
190,Tigzirt,DZ,2021-12-12 22:40:32,36.8886,4.1198,51.6,72,2,7.14,clear sky
191,Praia Da Vitoria,PT,2021-12-12 22:40:33,38.7333,-27.0667,57.45,72,40,20.69,scattered clouds
192,Lufilufi,WS,2021-12-12 22:40:33,-13.8745,-171.5986,89.38,71,73,11.52,broken clouds
193,Lagoa,PT,2021-12-12 22:40:33,39.05,-27.9833,57.74,53,100,22.57,overcast clouds
194,Siniscola,IT,2021-12-12 22:40:34,40.5719,9.6922,42.35,59,3,5.82,clear sky
195,Along,IN,2021-12-12 22:40:34,28.1667,94.7667,49.48,75,8,1.59,clear sky
